,artist_name,song_title
0,Crywank,Only Everyone Can Judge Me
1,Jazmine Sullivan,In Love With Another Man
2,Rival Sons,Back In The Woods
3,TRESOR,Aphrodite
4,Planetshakers,Like A Fire
5,Sticky Fingers,I Ain't Running
6,Big Sean,Guap
7,Coheed and Cambria,It Walks Among Us
8,Taylor Bennett,Broad Shoulders (feat. Chance the Rapper)
9,Van William,Revolution (feat. First Aid Kit)
10,Domo Genesis,Wanderer
11,Helado Negro,Come Be Me
12,Mørk,The Right Place
13,Sung Si-kyung,粉雪
14,Kid Rock,Roll On
15,Mk.Gee,I Know How You Get
16,The Game,Put You On The Game
17,Buck Owens,Hello Trouble
18,Audrey Assad,Even Unto Death
19,Alexis y Fido,Imagínate - Remix
20,Tom Rosenthal,Hugging You - Acoustic
21,Kenny Chesney,Live Those Songs
22,Pat Green,Let Me
23,My Darkest Days,Move Your Body
24,Richard Swift,Broken Finger Blues
25,Papa Roach,Top of the World
26,Leonard Cohen,Treaty
27,Ralph Vaughan Williams,Hymn Tune Prelude on Song 13 by Orlando Gibbons (arr. for string orchestra)
28,G Herbo,Bonjour
29,Night Riots,Follow You
30,Demun Jones,Smilin
31,Amigo the Devil,The Recluse
32,Kenny G,"My Heart Will Go On (Love Theme from ""Titanic"")"
33,Flatbush Zombies,Facts (feat. Jadakiss)
34,Gram Parsons,She - Remastered Version
35,Chromeo,Old 45's
36,Galaxie 500,Strange
37,Dounia,If U Wanna
38,Queen,Heaven For Everyone - Remastered 2011
39,Comedian Bob Marley,Itchy Boobs
40,RL Grime,Light Me Up - QUIX Remix
41,Chase Atlantic,Uncomfortable
42,Antonín Dvořák,"2 Pieces, Op. posth., B. 188: No. 1. Lullaby in G Major"
43,Sufjan Stevens,Lonely Man of Winter - Doveman Mix feat. Melissa Mary Ahern
44,Michael Giacchino,The Strum of Destiny
45,Luke Bryan,You Don't Know Jack
46,Giuseppe Verdi,"""Libiamo ne'lieti calici"""
47,Brian Davis,I’m All In
48,Ohio Players,Don't Say Goodbye
49,Jelly Roll,Glitter
50,Passion Pit,The Reeling
51,Avenged Sevenfold,Acid Rain
52,Max Richter,"nor earth, nor boundless sea - Pt. 1"
53,Van Morrison,The Prophet Speaks
54,Justine Skye,Don’t Think About It
55,Theory of a Deadman,Santa Monica
56,Lifehouse,Everything
57,Frankie Valli & The Four Seasons,Silhouettes
58,Dierks Bentley,I'll Be The Moon
59,The Buttertones,Bad Girl
60,Run The Jewels,Everybody Stay Calm
61,Dierks Bentley,How Am I Doin'
62,Smino,Maraca
63,Sons Of Zion,Tell Her
64,The Dangerous Summer,Where Were You When The Sky Opened Up
65,Yabby You,Conquering Lion
66,AlunaGeorge,My Blood
67,Sia,Buttons
68,Skott,Porcelain - AWAY Remix
